"","state","level","household","education","freq"
"376","Hawaii","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",180
"377","Idaho","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",201
"378","Illinois","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",2273
"379","Indiana","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",850
"380","Iowa","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",442
"381","Kansas","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",248
"382","Kentucky","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",453
"383","Louisiana","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",556
"384","Maine","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",394
"385","Maryland","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",912
"386","Massachusetts","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",1246
"387","Michigan","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",1630
"388","Minnesota","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",737
"389","Mississippi","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",535
"390","Missouri","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",913
"391","Montana","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",213
"392","Nebraska","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",395
"393","Nevada","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",410
"394","New Hampshire","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",147
"395","New Jersey","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",1867
"396","New Mexico","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",452
"397","New York","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",4151
"398","North Carolina","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",1662
"399","North Dakota","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",108
"400","Ohio","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",1700
"401","Oklahoma","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",645
"402","Oregon","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",971
"403","Pennsylvania","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",1552
"404","Rhode Island","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",179
"405","South Carolina","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",698
"406","South Dakota","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",111
"407","Tennessee","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",1085
"408","Texas","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",3895
"409","Utah","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",535
"410","Vermont","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",140
"411","Virginia","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",952
"412","Washington","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",1088
"413","West Virginia","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",334
"414","Wisconsin","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",902
"415","Wyoming","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",116
"416","Puerto Rico","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",1794
"417","Alabama","below.poverty.level","Female.hoholder","L.than.highhool.graduate",30409
"418","Alaska","below.poverty.level","Female.hoholder","L.than.highhool.graduate",954
"419","Arizona","below.poverty.level","Female.hoholder","L.than.highhool.graduate",31083
"420","Arkansas","below.poverty.level","Female.hoholder","L.than.highhool.graduate",13907
"421","California","below.poverty.level","Female.hoholder","L.than.highhool.graduate",168198
"422","Colorado","below.poverty.level","Female.hoholder","L.than.highhool.graduate",14436
"423","Connecticut","below.poverty.level","Female.hoholder","L.than.highhool.graduate",12721
"424","Delaware","below.poverty.level","Female.hoholder","L.than.highhool.graduate",2686
"425","District of Columbia","below.poverty.level","Female.hoholder","L.than.highhool.graduate",3455
"426","Florida","below.poverty.level","Female.hoholder","L.than.highhool.graduate",67240
"427","Georgia","below.poverty.level","Female.hoholder","L.than.highhool.graduate",49239
"428","Hawaii","below.poverty.level","Female.hoholder","L.than.highhool.graduate",1831
"429","Idaho","below.poverty.level","Female.hoholder","L.than.highhool.graduate",4151
"430","Illinois","below.poverty.level","Female.hoholder","L.than.highhool.graduate",45808
"431","Indiana","below.poverty.level","Female.hoholder","L.than.highhool.graduate",25310
"432","Iowa","below.poverty.level","Female.hoholder","L.than.highhool.graduate",5544
"433","Kansas","below.poverty.level","Female.hoholder","L.than.highhool.graduate",8437
"434","Kentucky","below.poverty.level","Female.hoholder","L.than.highhool.graduate",22036
"435","Louisiana","below.poverty.level","Female.hoholder","L.than.highhool.graduate",31617
"436","Maine","below.poverty.level","Female.hoholder","L.than.highhool.graduate",2459
"437","Maryland","below.poverty.level","Female.hoholder","L.than.highhool.graduate",14337
"438","Massachusetts","below.poverty.level","Female.hoholder","L.than.highhool.graduate",21561
"439","Michigan","below.poverty.level","Female.hoholder","L.than.highhool.graduate",35674
"440","Minnesota","below.poverty.level","Female.hoholder","L.than.highhool.graduate",11749
"441","Mississippi","below.poverty.level","Female.hoholder","L.than.highhool.graduate",22759
"442","Missouri","below.poverty.level","Female.hoholder","L.than.highhool.graduate",23373
"443","Montana","below.poverty.level","Female.hoholder","L.than.highhool.graduate",1886
"444","Nebraska","below.poverty.level","Female.hoholder","L.than.highhool.graduate",4459
"445","Nevada","below.poverty.level","Female.hoholder","L.than.highhool.graduate",9807
"446","New Hampshire","below.poverty.level","Female.hoholder","L.than.highhool.graduate",2229
"447","New Jersey","below.poverty.level","Female.hoholder","L.than.highhool.graduate",26407
"448","New Mexico","below.poverty.level","Female.hoholder","L.than.highhool.graduate",11094
"449","New York","below.poverty.level","Female.hoholder","L.than.highhool.graduate",102558
"450","North Carolina","below.poverty.level","Female.hoholder","L.than.highhool.graduate",45440
"451","North Dakota","below.poverty.level","Female.hoholder","L.than.highhool.graduate",898
"452","Ohio","below.poverty.level","Female.hoholder","L.than.highhool.graduate",46753
"453","Oklahoma","below.poverty.level","Female.hoholder","L.than.highhool.graduate",13612
"454","Oregon","below.poverty.level","Female.hoholder","L.than.highhool.graduate",11409
"455","Pennsylvania","below.poverty.level","Female.hoholder","L.than.highhool.graduate",41817
"456","Rhode Island","below.poverty.level","Female.hoholder","L.than.highhool.graduate",4336
"457","South Carolina","below.poverty.level","Female.hoholder","L.than.highhool.graduate",26878
"458","South Dakota","below.poverty.level","Female.hoholder","L.than.highhool.graduate",2342
"459","Tennessee","below.poverty.level","Female.hoholder","L.than.highhool.graduate",30205
"460","Texas","below.poverty.level","Female.hoholder","L.than.highhool.graduate",152169
"461","Utah","below.poverty.level","Female.hoholder","L.than.highhool.graduate",5557
"462","Vermont","below.poverty.level","Female.hoholder","L.than.highhool.graduate",1037
"463","Virginia","below.poverty.level","Female.hoholder","L.than.highhool.graduate",25070
"464","Washington","below.poverty.level","Female.hoholder","L.than.highhool.graduate",18247
"465","West Virginia","below.poverty.level","Female.hoholder","L.than.highhool.graduate",7919
"466","Wisconsin","below.poverty.level","Female.hoholder","L.than.highhool.graduate",15895
"467","Wyoming","below.poverty.level","Female.hoholder","L.than.highhool.graduate",767
"468","Puerto Rico","below.poverty.level","Female.hoholder","L.than.highhool.graduate",61192
"469","Alabama","below.poverty.level","Female.hoholder","Highhool.graduate",35519
"470","Alaska","below.poverty.level","Female.hoholder","Highhool.graduate",2426
"471","Arizona","below.poverty.level","Female.hoholder","Highhool.graduate",23137
"472","Arkansas","below.poverty.level","Female.hoholder","Highhool.graduate",20501
"473","California","below.poverty.level","Female.hoholder","Highhool.graduate",109313
"474","Colorado","below.poverty.level","Female.hoholder","Highhool.graduate",13592
"475","Connecticut","below.poverty.level","Female.hoholder","Highhool.graduate",14014
"476","Delaware","below.poverty.level","Female.hoholder","Highhool.graduate",4293
"477","District of Columbia","below.poverty.level","Female.hoholder","Highhool.graduate",5110
"478","Florida","below.poverty.level","Female.hoholder","Highhool.graduate",88846
"479","Georgia","below.poverty.level","Female.hoholder","Highhool.graduate",60599
"480","Hawaii","below.poverty.level","Female.hoholder","Highhool.graduate",4109
"481","Idaho","below.poverty.level","Female.hoholder","Highhool.graduate",6365
"482","Illinois","below.poverty.level","Female.hoholder","Highhool.graduate",57410
"483","Indiana","below.poverty.level","Female.hoholder","Highhool.graduate",32654
"484","Iowa","below.poverty.level","Female.hoholder","Highhool.graduate",10113
"485","Kansas","below.poverty.level","Female.hoholder","Highhool.graduate",10769
"486","Kentucky","below.poverty.level","Female.hoholder","Highhool.graduate",27545
"487","Louisiana","below.poverty.level","Female.hoholder","Highhool.graduate",38823
"488","Maine","below.poverty.level","Female.hoholder","Highhool.graduate",6508
"489","Maryland","below.poverty.level","Female.hoholder","Highhool.graduate",20362
"490","Massachusetts","below.poverty.level","Female.hoholder","Highhool.graduate",25808
"491","Michigan","below.poverty.level","Female.hoholder","Highhool.graduate",53179
"492","Minnesota","below.poverty.level","Female.hoholder","Highhool.graduate",16631
"493","Mississippi","below.poverty.level","Female.hoholder","Highhool.graduate",27165
"494","Missouri","below.poverty.level","Female.hoholder","Highhool.graduate",29297
"495","Montana","below.poverty.level","Female.hoholder","Highhool.graduate",3640
"496","Nebraska","below.poverty.level","Female.hoholder","Highhool.graduate",6028
"497","Nevada","below.poverty.level","Female.hoholder","Highhool.graduate",9700
"498","New Hampshire","below.poverty.level","Female.hoholder","Highhool.graduate",3804
"499","New Jersey","below.poverty.level","Female.hoholder","Highhool.graduate",36458
"500","New Mexico","below.poverty.level","Female.hoholder","Highhool.graduate",9007
"501","New York","below.poverty.level","Female.hoholder","Highhool.graduate",90933
"502","North Carolina","below.poverty.level","Female.hoholder","Highhool.graduate",49660
"503","North Dakota","below.poverty.level","Female.hoholder","Highhool.graduate",2229
"504","Ohio","below.poverty.level","Female.hoholder","Highhool.graduate",68464
"505","Oklahoma","below.poverty.level","Female.hoholder","Highhool.graduate",22101
"506","Oregon","below.poverty.level","Female.hoholder","Highhool.graduate",13979
"507","Pennsylvania","below.poverty.level","Female.hoholder","Highhool.graduate",69560
"508","Rhode Island","below.poverty.level","Female.hoholder","Highhool.graduate",4803
"509","South Carolina","below.poverty.level","Female.hoholder","Highhool.graduate",32882
"510","South Dakota","below.poverty.level","Female.hoholder","Highhool.graduate",2892
"511","Tennessee","below.poverty.level","Female.hoholder","Highhool.graduate",44485
"512","Texas","below.poverty.level","Female.hoholder","Highhool.graduate",120567
"513","Utah","below.poverty.level","Female.hoholder","Highhool.graduate",6856
"514","Vermont","below.poverty.level","Female.hoholder","Highhool.graduate",2419
"515","Virginia","below.poverty.level","Female.hoholder","Highhool.graduate",28913
"516","Washington","below.poverty.level","Female.hoholder","Highhool.graduate",19047
"517","West Virginia","below.poverty.level","Female.hoholder","Highhool.graduate",11718
"518","Wisconsin","below.poverty.level","Female.hoholder","Highhool.graduate",23251
"519","Wyoming","below.poverty.level","Female.hoholder","Highhool.graduate",1999
"520","Puerto Rico","below.poverty.level","Female.hoholder","Highhool.graduate",53698
"521","Alabama","below.poverty.level","Female.hoholder","ociatedegree",33392
"522","Alaska","below.poverty.level","Female.hoholder","ociatedegree",2193
"523","Arizona","below.poverty.level","Female.hoholder","ociatedegree",30596
"524","Arkansas","below.poverty.level","Female.hoholder","ociatedegree",21530
"525","California","below.poverty.level","Female.hoholder","ociatedegree",135699
"526","Colorado","below.poverty.level","Female.hoholder","ociatedegree",19751
"527","Connecticut","below.poverty.level","Female.hoholder","ociatedegree",11603
"528","Delaware","below.poverty.level","Female.hoholder","ociatedegree",2821
"529","District of Columbia","below.poverty.level","Female.hoholder","ociatedegree",2976
"530","Florida","below.poverty.level","Female.hoholder","ociatedegree",83685
"531","Georgia","below.poverty.level","Female.hoholder","ociatedegree",58315
"532","Hawaii","below.poverty.level","Female.hoholder","ociatedegree",4489
"533","Idaho","below.poverty.level","Female.hoholder","ociatedegree",7083
"534","Illinois","below.poverty.level","Female.hoholder","ociatedegree",63082
"535","Indiana","below.poverty.level","Female.hoholder","ociatedegree",35700
"536","Iowa","below.poverty.level","Female.hoholder","ociatedegree",16749
"537","Kansas","below.poverty.level","Female.hoholder","ociatedegree",13181
"538","Kentucky","below.poverty.level","Female.hoholder","ociatedegree",30132
"539","Louisiana","below.poverty.level","Female.hoholder","ociatedegree",32024
"540","Maine","below.poverty.level","Female.hoholder","ociatedegree",6011
"541","Maryland","below.poverty.level","Female.hoholder","ociatedegree",18107
"542","Massachusetts","below.poverty.level","Female.hoholder","ociatedegree",23967
"543","Michigan","below.poverty.level","Female.hoholder","ociatedegree",66075
"544","Minnesota","below.poverty.level","Female.hoholder","ociatedegree",22155
"545","Mississippi","below.poverty.level","Female.hoholder","ociatedegree",29015
"546","Missouri","below.poverty.level","Female.hoholder","ociatedegree",33782
"547","Montana","below.poverty.level","Female.hoholder","ociatedegree",4842
"548","Nebraska","below.poverty.level","Female.hoholder","ociatedegree",8809
"549","Nevada","below.poverty.level","Female.hoholder","ociatedegree",10605
"550","New Hampshire","below.poverty.level","Female.hoholder","ociatedegree",4085
"551","New Jersey","below.poverty.level","Female.hoholder","ociatedegree",24729
"552","New Mexico","below.poverty.level","Female.hoholder","ociatedegree",13902
"553","New York","below.poverty.level","Female.hoholder","ociatedegree",79956
"554","North Carolina","below.poverty.level","Female.hoholder","ociatedegree",64054
"555","North Dakota","below.poverty.level","Female.hoholder","ociatedegree",3575
"556","Ohio","below.poverty.level","Female.hoholder","ociatedegree",75130
"557","Oklahoma","below.poverty.level","Female.hoholder","ociatedegree",22618
"558","Oregon","below.poverty.level","Female.hoholder","ociatedegree",21073
"559","Pennsylvania","below.poverty.level","Female.hoholder","ociatedegree",50060
"560","Rhode Island","below.poverty.level","Female.hoholder","ociatedegree",4712
"561","South Carolina","below.poverty.level","Female.hoholder","ociatedegree",30692
"562","South Dakota","below.poverty.level","Female.hoholder","ociatedegree",4238
"563","Tennessee","below.poverty.level","Female.hoholder","ociatedegree",33932
"564","Texas","below.poverty.level","Female.hoholder","ociatedegree",120685
"565","Utah","below.poverty.level","Female.hoholder","ociatedegree",8699
"566","Vermont","below.poverty.level","Female.hoholder","ociatedegree",2292
"567","Virginia","below.poverty.level","Female.hoholder","ociatedegree",29190
"568","Washington","below.poverty.level","Female.hoholder","ociatedegree",30442
"569","West Virginia","below.poverty.level","Female.hoholder","ociatedegree",8851
"570","Wisconsin","below.poverty.level","Female.hoholder","ociatedegree",26592
"571","Wyoming","below.poverty.level","Female.hoholder","ociatedegree",2429
"572","Puerto Rico","below.poverty.level","Female.hoholder","ociatedegree",43955
"573","Alabama","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",3893
"574","Alaska","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",483
"575","Arizona","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",4514
"576","Arkansas","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",2406
"577","California","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",29924
"578","Colorado","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",5533
"579","Connecticut","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",2486
"580","Delaware","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",535
"581","District of Columbia","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",474
"582","Florida","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",19579
"583","Georgia","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",11569
"584","Hawaii","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",988
"585","Idaho","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",1298
"586","Illinois","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",11835
"587","Indiana","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",4324
"588","Iowa","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",1792
"589","Kansas","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",2428
"590","Kentucky","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",3056
"591","Louisiana","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",3947
"592","Maine","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",1141
"593","Maryland","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",4516
"594","Massachusetts","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",6269
"595","Michigan","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",8322
"596","Minnesota","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",3581
"597","Mississippi","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",3893
"598","Missouri","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",4715
"599","Montana","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",1196
"600","Nebraska","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",1267
"601","Nevada","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",1886
"602","New Hampshire","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",858
"603","New Jersey","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",6898
"604","New Mexico","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",1687
"605","New York","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",21363
"606","North Carolina","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",9269
"607","North Dakota","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",393
"608","Ohio","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",7863
"609","Oklahoma","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",3125
"610","Oregon","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",3317
"611","Pennsylvania","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",8754
"612","Rhode Island","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",820
"613","South Carolina","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",4425
"614","South Dakota","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",370
"615","Tennessee","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",5049
"616","Texas","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",17957
"617","Utah","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",1720
"618","Vermont","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",613
"619","Virginia","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",6520
"620","Washington","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",5422
"621","West Virginia","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",1237
"622","Wisconsin","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",3456
"623","Wyoming","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",277
"624","Puerto Rico","below.poverty.level","Female.hoholder","Bachelordegree.or.higher",14344
"625","Alabama","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",86949
"626","Alaska","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",5832
"627","Arizona","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",95930
"628","Arkansas","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",59689
"629","California","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",769012
"630","Colorado","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",58893
"631","Connecticut","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",40488
"632","Delaware","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",11658
"633","District of Columbia","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",3478
"634","Florida","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",275034
"635","Georgia","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",146149
"636","Hawaii","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",13062
"637","Idaho","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",23113
"638","Illinois","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",189554
"639","Indiana","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",100115
"640","Iowa","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",37191
"641","Kansas","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",35029
"642","Kentucky","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",87831
"643","Louisiana","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",80048
"644","Maine","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",15187
"645","Maryland","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",66676
"646","Massachusetts","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",72223
"647","Michigan","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",119817
"648","Minnesota","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",48868
"649","Mississippi","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",53409
"650","Missouri","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",87151
"651","Montana","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",10196
"652","Nebraska","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",20362
"653","Nevada","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",48537
"654","New Hampshire","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",15010
"655","New Jersey","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",110914
"656","New Mexico","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",36128
"657","New York","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",278715
"658","North Carolina","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",159928
"659","North Dakota","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",8711
"660","Ohio","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",149225
"661","Oklahoma","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",59513
"662","Oregon","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",48802
"663","Pennsylvania","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",168593
"664","Rhode Island","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",16714
"665","South Carolina","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",74068
"666","South Dakota","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",8925
"667","Tennessee","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",117295
"668","Texas","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",524863
"669","Utah","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",29878
"670","Vermont","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",6611
"671","Virginia","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",116193
"672","Washington","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",74400
"673","West Virginia","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",37248
"674","Wisconsin","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",70430
"675","Wyoming","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",5893
"676","Puerto Rico","at.or.above.poverty.level","Married.couple.family","L.than.highhool.graduate",63672
"677","Alabama","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",233407
"678","Alaska","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",25986
"679","Arizona","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",205286
"680","Arkansas","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",165502
"681","California","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",920992
"682","Colorado","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",167057
"683","Connecticut","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",145604
"684","Delaware","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",41179
"685","District of Columbia","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",5450
"686","Florida","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",768675
"687","Georgia","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",391448
"688","Hawaii","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",48732
"689","Idaho","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",70322
"690","Illinois","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",506872
"691","Indiana","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",376775
"692","Iowa","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",183836
"693","Kansas","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",128513
"694","Kentucky","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",248407
"695","Louisiana","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",230797
"696","Maine","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",78890
"697","Maryland","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",201557
"698","Massachusetts","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",237273
"699","Michigan","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",447364
"700","Minnesota","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",238695
"701","Mississippi","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",127222
"702","Missouri","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",312620
"703","Montana","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",51071
"704","Nebraska","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",87443
"705","Nevada","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",101902
"706","New Hampshire","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",65354
"707","New Jersey","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",362984
"708","New Mexico","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",72662
"709","New York","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",721193
"710","North Carolina","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",399563
"711","North Dakota","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",32090
"712","Ohio","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",644190
"713","Oklahoma","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",184277
"714","Oregon","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",141933
"715","Pennsylvania","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",763041
"716","Rhode Island","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",40298
"717","South Carolina","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",201301
"718","South Dakota","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",44224
"719","Tennessee","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",331068
"720","Texas","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",853750
"721","Utah","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",93550
"722","Vermont","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",34379
"723","Virginia","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",305402
"724","Washington","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",237684
"725","West Virginia","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",135326
"726","Wisconsin","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",321644
"727","Wyoming","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",30494
"728","Puerto Rico","at.or.above.poverty.level","Married.couple.family","Highhool.graduate",86102
"729","Alabama","at.or.above.poverty.level","Married.couple.family","ociatedegree",259501
"730","Alaska","at.or.above.poverty.level","Married.couple.family","ociatedegree",49733
"731","Arizona","at.or.above.poverty.level","Married.couple.family","ociatedegree",384926
"732","Arkansas","at.or.above.poverty.level","Married.couple.family","ociatedegree",159836
